Peak	PeakRanges	Gene	rObs	pvalZ
95	551	chr1:24643298-24643322	SRRM1	0.954706229091033	4.25003494366472e-05
96	552	chr1:24704893-24704894	CLIC4	0.299541465785774	0.0026870150640419
97	553	chr1:24745446-24745447	CLIC4	0.997247211601669	3.96349619791181e-14
98	565	chr1:25272438-25272548	RHD	0.999380009683106	4.22022417012613e-11
99	566	chr1:25338333-25338334	TMEM50A	0.992873255979534	1.6145085268704e-11
100	569	chr1:25543579-25543580	LDLRAP1	0.985378263898785	1.58302893390472e-05
101	571	chr1:25617467-25709602	MAN1C1	0.986345046744341	5.31078714338662e-09
102	572	chr1:25659110-25659111	MAN1C1	0.209299480052337	0.0621830392492241
103	575	chr1:25819928-25821523	MTFR1L	0.999645766903515	0
104	586	chr1:26111164-26111837	PDIK1L	1	0
105	589	chr1:26169907-26169942	ZNF593	1	5.46316081817544e-07
106	593	chr1:26234199-26234202	CEP85	0.999172888218899	4.27243502354457e-07
107	594	chr1:26280085-26280122	SH3BGRL3	0.92624629543568	0.0021547011292381
108	596	chr1:26317957-26317958	CD52	0.88374910953729	0.00112203917557085
109	600	chr1:26432315-26432355	DHDDS	0.998757469796437	2.93124413630608e-11
110	601	chr1:26467281-26468014	HMGN2	0.00591116835180451	0.554014563028779
111	602	chr1:26472439-26472515	HMGN2	0.976622642133614	5.12467045465925e-08
112	603	chr1:26529760-26545852	RPS6KA1	0.994703700894739	0
113	604	chr1:26693235-26729380	ARID1A	0.943202889357326	1.44189001208828e-05
114	606	chr1:26787994-26788195	PIGV	0.999948983496128	1.64956936998806e-12
115	607	chr1:26826687-26826688	ZDHHC18	0.998538010914117	1.26565424807268e-14
116	613	chr1:26921742-26921743	NUDC	0.993793732943375	0
117	615	chr1:26993691-26993692	TRNP1	1	5.45634574744547e-07
118	619	chr1:27234631-27234668	WDTC1	0.996140767615418	1.11022302462516e-16
119	620	chr1:27322144-27322281	TMEM222	0.99427519875805	0
120	621	chr1:27342019-27344873	SYTL1	0.987464279386385	1.84321224949713e-10
121	635	chr1:27725978-27726057	FAM76A	0.999380009683106	0
122	636	chr1:27773218-27773219	STX12	0.97477218989444	4.50861570300276e-13
123	639	chr1:27830781-27830822	PPP1R8	0.998538010914117	0
124	641	chr1:27872542-27872549	THEMIS2	0.989710647969465	8.40392158085734e-08
125	643	chr1:27934999-27935110	SMPDL3B	0.9994631448585	9.88802373314002e-11
126	644	chr1:27959461-27959462	XKR8	0.999795939189879	6.08932960854958e-06
127	652	chr1:28259517-28259518	SESN2	0.998589391713345	7.70989938558841e-11
128	653	chr1:28329039-28329055	MED18	0.99957921310992	1.11100018074239e-12
129	654	chr1:28369739-28438171	PHACTR4	0.993406978090212	0
130	656	chr1:28505979-28505980	SNHG3	0.9994631448585	1.36107791703921e-11
131	655	chr1:28505942-28518257	RCC1	0.998171692977503	0
132	657	chr1:28553084-28553085	TRNAU1AP	0.998449317705337	2.54738947713662e-08
133	663	chr1:28668731-28668780	GMEB1	0.999058562715295	1.23502318372104e-08
134	664	chr1:28736620-28736940	YTHDF2	0.976473699135366	0
135	667	chr1:28887090-28914626	EPB41	0.920535006347248	5.60602024135548e-07
136	681	chr1:30718503-30719174	MATN1-AS1	0.999862571290494	4.6251891205884e-13
137	692	chr1:31296981-31297036	ZCCHC17	0.996355719125956	0
138	695	chr1:31409564-31413813	SERINC2	1	0
139	696	chr1:31506225-31540381	LINC01226	1	5.45634574744547e-07
140	699	chr1:31617699-31619193	HCRTR1	1	0
141	712	chr1:32013867-32013996	KHDRBS1	0.945017513297538	2.5295120775759e-08
142	713	chr1:32072938-32072939	TMEM39B	0.999739685014462	0
143	714	chr1:32073473-32073474	KPNA6	0.154096307014785	0.0855479948902628
144	715	chr1:32108055-32108056	KPNA6	0.984330126857459	0
145	717	chr1:32179674-32180065	TXLNA	0.997760355531002	6.8978156519961e-13
146	718	chr1:32200385-32200633	CCDC28B	0.999789628692318	9.43689570931383e-15
147	719	chr1:32205660-32205671	IQCC	1	0.000143540578803725
148	721	chr1:32209093-32209094	DCDC2B	0.999739685014462	5.56332757639666e-13
149	723	chr1:32222369-32222370	EIF3I	0.979458373304098	0
150	724	chr1:32247221-32247222	FAM167B	1	0
151	725	chr1:32251238-32274132	LCK	0.972006576505203	0.000151910605311167
152	726	chr1:32292082-32292083	HDAC1	0.990862110312866	0
153	730	chr1:32362538-32362539	TSSK3	1	0
154	733	chr1:32539426-32539429	ZBTB8A	1	0
155	735	chr1:32651141-32651356	RBBP4	0.985345632039331	1.09991682428756e-10
156	740	chr1:32817441-32817653	S100PBP	0.996156459308178	1.47423184770901e-11
157	748	chr1:33081152-33082250	AZIN2	0.999948983496128	2.56956678157394e-11
158	751	chr1:33256491-33270575	ZNF362	0.999140893312203	2.2510626696004e-10
159	773	chr1:35032171-35079391	ZMYM1	0.999645782594209	1.67310609811011e-13
160	776	chr1:35268708-35268709	ZMYM4	0.980284664903705	0
161	779	chr1:35557472-35557799	NCDN	0.999948983496128	2.38542519070961e-11
162	780	chr1:35573313-35573314	TFAP2E	1	1.64301905414277e-12
163	786	chr1:35808015-35808016	AGO4	0.989565369889744	5.34178334777868e-05
164	787	chr1:35869807-35883209	AGO1	0.995519869187758	2.92943447277594e-12
165	790	chr1:35930717-35931258	AGO3	0.972724463189301	9.36313848676207e-09
166	793	chr1:36088891-36088892	ADPRHL2	0.996242218245587	0
167	796	chr1:36155964-36156202	MAP7D1	0.994148598289178	0
168	797	chr1:36224431-36224443	THRAP3	0.886690377581359	0.0531843485128902
169	813	chr1:37474579-37474580	ZC3H12A	0.999862571290494	0
170	825	chr1:37806978-37807790	C1orf122	0.998318744793232	2.49031684163015e-10
171	832	chr1:38012733-38012734	UTP11	0.998647951027465	0
172	846	chr1:38991275-38991288	AKIRIN1	0.994522585833655	2.87181389779789e-12
173	847	chr1:39026317-39026350	NDUFS5	0.978212147482416	5.81533728415407e-05
174	852	chr1:39491635-39491636	BMP8A	0.999948983496128	3.13082892944294e-14
175	859	chr1:39738881-39738901	PPIE	0.994448305102132	0
176	869	chr1:39955111-39955150	MFSD2A	1	0
177	870	chr1:40040232-40040761	CAP1	0.932826214254475	6.98809881076734e-05
178	872	chr1:40161386-40161387	RLF	0.988139865636717	0
179	875	chr1:40258235-40258236	ZMPSTE24	0.997302619840548	2.02019512229867e-11
180	877	chr1:40393344-40396800	SMAP2	0.921614800519322	0.000916873483021496
181	879	chr1:40450106-40450476	ZFP69B	0.999862571290494	1.10934395003426e-09
182	881	chr1:40477289-40477630	ZFP69	0.999948983496128	2.94451130145035e-11
183	883	chr1:40508740-40508761	EXO5	1	0
184	886	chr1:40531572-40531663	ZNF684	0.99957921310992	2.66453525910038e-15
185	891	chr1:40691688-40738838	NFYC	0.99320744904947	1.51989532071184e-13
186	897	chr1:40979695-40988519	CTPS1	0.9994631448585	2.50133247448048e-13
187	898	chr1:41014589-41014590	SLFNL1-AS1	1	0
188	916	chr1:42456116-42456561	PPCS	0.996976901690424	5.88418203051333e-15
189	917	chr1:42463220-42577071	CCDC30	0.998901554227758	6.4427152501878e-09
190	918	chr1:42658422-42658720	PPIH	0.994266555709187	0
191	921	chr1:42682417-42682418	YBX1	0.960117463108091	0
192	924	chr1:42767248-42767249	C1orf50	0.999240574883683	0
193	928	chr1:42817121-42825560	ERMAP	0.999948983496128	0
194	930	chr1:42846572-42850687	ZNF691	1	0
195	932	chr1:42959048-42959100	SLC2A1-AS1	1	0
196	935	chr1:43172148-43172330	CFAP57	1	4.10349678957589e-05
197	940	chr1:43337848-43337849	MPL	1	0
198	947	chr1:43389881-43389899	SZT2	0.996533096092415	1.90833083335562e-07
199	951	chr1:43530875-43530890	PTPRF	1	0.000370197764702707
200	952	chr1:43650148-43650149	KDM4A	0.999380009683106	8.77076189453874e-15
201	954	chr1:43707496-43736263	ST3GAL3	0.993949624424788	4.48419079646101e-13
202	955	chr1:43727342-43727343	ST3GAL3	0.262856617510891	0.0102671031765683
203	958	chr1:43946949-43965939	IPO13	0.999948983496128	2.12445203651157e-08
204	959	chr1:43970009-43970025	DPH2	0.999948983496128	0
205	957	chr1:43940780-43946286	ATP6V0B	0.156981044941334	0.0958580424551068
206	961	chr1:43974943-43976055	ATP6V0B	0.980254125675285	1.63735691671718e-12
207	968	chr1:44213454-44213488	DMAP1	0.99957921310992	3.2928740623106e-08
208	971	chr1:44405193-44405288	RNF220	0.996242218245587	1.61042831857694e-05
209	974	chr1:44739836-44746406	KIF2C	0.99975950861215	7.72280178806817e-07
210	976	chr1:44775809-44775810	KIF2C	0.312502147434231	0.027525925820569
211	975	chr1:44775539-44775573	RPS8	0.827120505213327	0.159280236459409
212	978	chr1:44800376-44800377	PLK3	0.995988018667743	0
213	980	chr1:44808481-44808523	BTBD19	0.999948983496128	0
214	984	chr1:45010949-45012254	UROD	0.99957921310992	2.74225087082414e-14
215	987	chr1:45326894-45326895	HPDL	1	0
216	989	chr1:45340169-45340170	TOE1	0.99957921310992	0
217	992	chr1:45500299-45500341	MMACHC	1	1.64301905414277e-12
218	994	chr1:45550542-45551068	AKR1A1	0.990790060933111	0
219	995	chr1:45583987-45584065	NASP	0.991494962800912	8.52873327517045e-13
220	998	chr1:45688180-45688181	TMEM69	0.999380009683106	0
221	1009	chr1:46247694-46247763	RAD54L	1	1.64301905414277e-12
222	1011	chr1:46303697-46303698	UQCRH	0.955067565384515	2.38925855766681e-08
223	1012	chr1:46340176-46341836	NSUN4	0.998860645806415	5.30180344071596e-11
224	1013	chr1:46394316-46394317	FAAH	1	0
225	1016	chr1:46538695-46538696	MKNK1-AS1	1	0
226	1023	chr1:46674127-46674128	EFCAB14-AS1	0.999965644593308	0
227	1036	chr1:47333796-47333914	CMPK1	0.991324185180375	0.000222763969396689
228	1067	chr1:50960744-50970245	CDKN2C	1	2.04642140320122e-05
229	1070	chr1:51236272-51236273	RNF11	0.997473524369535	0
230	1077	chr1:51577178-51730034	OSBPL9	0.990081593909963	3.59639540370438e-10
231	1086	chr1:52056270-52056321	BTF3L4	0.996069749075067	0
232	1087	chr1:52142093-52216380	ZFYVE9	0.999645766903515	3.04944958173792e-12
233	1092	chr1:52404601-52404602	PRPF38A	0.995052955495972	0.000107937962471327
234	1093	chr1:52552993-52553100	GPX7	0.0462192073647905	0.35600566443593
235	1095	chr1:52602370-52602371	GPX7	0.998860645806415	0
236	1098	chr1:52726452-52726467	ZYG11B	0.997748772203777	5.9964483600794e-08
237	1102	chr1:52927275-53014974	SCP2	0.992404266705826	8.01692046081826e-12
238	1107	chr1:53196791-53196824	CPT2	0.999862571290494	1.07029076601428e-07
239	1125	chr1:53894186-53894211	DIO1	1	2.7693725090927e-10
240	1127	chr1:53946349-53946353	LRRC42	1	7.66904906246424e-09
241	1130	chr1:54053607-54104295	TCEANC2	0.999579235251937	7.82907072505168e-12
242	1134	chr1:54200166-54200196	MRPL37	0.99957921310992	3.5673779263945e-08
243	1141	chr1:54548227-54548228	ACOT11	0.999862571290494	0
244	1145	chr1:54715860-54715861	TTC4	0.999380009683106	3.70470110144794e-08
245	1149	chr1:54806062-54806102	LEXM	1	9.11929337599204e-08
246	1168	chr1:56645313-56645388	PRKAA2	1	0
247	1184	chr1:58785127-58785156	LINC01135	0.998955804027042	8.87539819416361e-09
248	1195	chr1:59814948-59814949	HOOK1	0.997992849386239	0
249	1211	chr1:62436303-62437049	USP1	0.993181675842947	6.89992704083764e-07
250	1215	chr1:62784131-62784135	ATG4C	0.994197434679861	4.01199572452882e-08
251	1226	chr1:63367626-63367627	ALG6	0.999248345128249	0
252	1229	chr1:63523524-63523525	EFCAB7	0.999965644593308	4.5852210917019e-14
253	1231	chr1:63593410-63623093	PGM1	0.997562128580284	1.40248190838577e-09
254	1236	chr1:64470128-64505901	CACHD1	0.999684448572234	0
255	1237	chr1:64745094-64745095	RAVER2	1	5.04127936507004e-07
256	1241	chr1:65147548-65148203	AK4	1	0
257	1242	chr1:65264693-65309543	DNAJC6	0.999862571290494	0
258	1243	chr1:65306520-65306521	DNAJC6	0.812278658708069	0
259	1244	chr1:65420586-65420716	LEPROT	0.999305821877944	1.76736403290079e-12
260	1256	chr1:66924894-66930243	MIER1	0.942558386513022	1.93700611106351e-12
261	1261	chr1:67307363-67307905	IL12RB2	0.998842963346163	5.55111512312578e-16
262	1264	chr1:67685200-67685405	GADD45A	0.999948983496128	1.64748852449215e-07
263	1284	chr1:70205681-70231548	SRSF11	0.817734465243967	6.53959097984824e-09
264	1287	chr1:70354804-70354844	HHLA3	1	7.66904906246424e-09
265	1289	chr1:70411217-70411383	CTH	0.999948983496128	0
266	1296	chr1:71048854-71058323	ZRANB2-AS1	0.999862571290494	0
267	1310	chr1:74198211-74198267	FPGT	0.998742469229468	2.72470934703506e-12
268	1311	chr1:74235386-74235387	TNNI3K	1	1.64301905414277e-12
269	1319	chr1:74733151-74733247	TYW3	0.999077860094422	4.47186732088767e-12
270	1326	chr1:75724346-75724780	ACADM	0.997880019790026	8.1959368181117e-07
271	1327	chr1:75786230-75786256	RABGGTB	0.998538107294834	6.41558557390454e-08
272	1328	chr1:75796881-75796882	MSH4	0.999948983496128	2.66526273273726e-08
273	1345	chr1:77888514-77888628	NEXN	0.998757469796437	0
274	1349	chr1:78004938-78004939	DNAJB4	0.999948983496128	5.06994057847265e-09
275	1354	chr1:78620447-78620448	IFI44L	0.989853297823084	1.82144508587001e-07
276	1355	chr1:78649830-78649831	IFI44	0.989729077125865	0.000727949060837063
277	1371	chr1:82903182-82903201	LINC01362	0.999948983496128	0
278	1379	chr1:84038528-84038529	PRKACB	0.0932688401092983	0.250413783260744
279	1385	chr1:84479258-84479266	RPF1	0.990998881036858	3.07753822426093e-13
280	1386	chr1:84506396-84506397	SPATA1	0.998959080600239	1.58493218549438e-11
281	1396	chr1:84999146-85062327	WDR63	0.999739685014462	6.43801310595826e-06
282	1417	chr1:86704569-86704895	SH3GLB1	0.972757429165019	0
283	1419	chr1:86914125-86914424	HS2ST1	0.134044402556521	0.142908482969442
284	1420	chr1:86914634-86914648	HS2ST1	0.992581010921058	2.62627114189229e-05
285	1424	chr1:87328879-87331668	LMO4	0.997073664196068	0
286	1428	chr1:88684221-88684573	PKN2	0.925887727254036	4.66814201907084e-05
287	1442	chr1:89524853-89568471	LRRC8B	0.996558536591815	0
288	1446	chr1:89633119-89633120	LRRC8C	0.950121578073835	5.63468659131594e-06
289	1449	chr1:89821031-89821921	LRRC8D	0.985415032227454	4.96746148659355e-08
290	1451	chr1:89995109-89995137	ZNF326	0.994942787945209	1.11218337843777e-05
291	1464	chr1:91500850-91501108	CDC7	0.999965644593308	3.25166671366617e-10
292	1469	chr1:92080304-92168923	BTBD8	0.999948983496128	0
293	1473	chr1:92299058-92299059	RPAP2	0.987318527809786	2.08721928629529e-14
294	1476	chr1:92832039-92832057	RPL5	0.841214125400037	0.0740446936936014
295	1479	chr1:93079234-93079311	MTF2	0.991784695280864	0
296	1480	chr1:93179918-93180363	CCDC18	0.987891393914226	0
297	1483	chr1:93345906-93345935	DR1	0.998670654114877	8.05489008826044e-12
298	1484	chr1:93448130-93448282	FNBP1L	1	0
299	1496	chr1:94418388-94418479	ABCD3	0.99794256861867	2.28361773935148e-12
300	1507	chr1:95234209-95234211	RWDD3	0.995871368804875	1.35886746299718e-10
301	1518	chr1:96721782-96721822	PTBP2	0.981930871623759	0
302	1519	chr1:97095922-97095923	DPYD-AS1	0.979210691250204	4.71189753881163e-12
303	1534	chr1:99850360-99852670	AGL	0.997529664856478	0
304	1535	chr1:99969350-99970436	SLC35A3	0.997318146351809	0
305	1537	chr1:100038094-100038095	MFSD14A	0.994889671518407	4.31543689671798e-13
306	1540	chr1:100133149-100133215	TRMT13	0.995637742306342	0
307	1545	chr1:100266206-100266289	RTCA	0.995052955495972	0
308	1547	chr1:100345021-100352949	CDC14A	0.96650304290193	0.000276253091311185
309	1555	chr1:100896075-100896090	SLC30A7	0.986516468259403	0.210408984157
310	1559	chr1:101236527-101236528	S1PR1	0.272165526975909	0.000143540578803725
311	1560	chr1:101236887-101238335	S1PR1	0.997302619840548	0
312	1568	chr1:103525503-103525511	RNPC3	0.0793894197138974	0.132068268321832
313	1569	chr1:103525690-103525699	RNPC3	0.949494130267233	0
314	1570	chr1:103554699-103571100	AMY2B	0.999739685014462	0.000193719455113706
315	1580	chr1:107056673-107056674	PRMT6	0.999948983496128	0
316	1581	chr1:107140006-107148594	NTNG1	1	3.33066907387547e-16
317	1583	chr1:107964442-107964443	VAV3-AS1	1	0
318	1591	chr1:108560088-108560100	FAM102B	0.994271403567237	1.38863032184133e-10
319	1594	chr1:108692309-108692341	PRPF38B	0.973588427612108	6.65987569758997e-06
320	1597	chr1:108746673-108746674	STXBP3	0.987385671034317	3.70938002536292e-09
321	1600	chr1:108875349-108876985	GPSM2	0.999479389008178	0
322	1604	chr1:109089802-109090773	TMEM167B	0.996242218245587	2.16007101094817e-10
323	1608	chr1:109114114-109114155	KIAA1324	1	0
324	1609	chr1:109213917-109213982	SARS	0.996635471381957	5.25865162526173e-09
325	1617	chr1:109494051-109494115	CYB561D1	0.999240574883683	0
326	1621	chr1:109548614-109548615	GNAI3	0.981961225874447	0
327	1624	chr1:109619812-109623814	AMPD2	0.997938208543007	4.55191440096314e-15
328	1626	chr1:109656098-109656390	GSTM4	0.999948983496128	0
329	1627	chr1:109668021-109668092	GSTM2	1	0
330	1637	chr1:109910848-109910986	CSF1	0.999948983496128	8.45665839799281e-07
331	1638	chr1:109984764-110004131	AHCYL1	0.998393705641615	3.2353545176278e-08
332	1639	chr1:110031576-110034624	STRIP1	0.999023513826903	4.2326123717018e-09
333	1640	chr1:110058339-110058340	STRIP1	0.221041247905664	0.111153738464116
334	1648	chr1:110211472-110211500	KCNC4	0.999948983496128	6.24311713437464e-12
335	1649	chr1:110338505-110339466	RBM15	0.999380009683106	4.20974921588879e-10
336	1654	chr1:110407524-110442764	LAMTOR5-AS1	0.999240574883683	0
337	1663	chr1:110871187-110873148	CD53	0.902128033577576	5.77629234526089e-05
338	1668	chr1:111139626-111147677	CEPT1	0.976920219192985	1.90092386276319e-12
339	1673	chr1:111200770-111229820	CHI3L2	0.999965644593308	2.60689523079449e-07
340	1682	chr1:111473791-111473869	C1orf162	0.990333399236691	1.77303415116459e-06
341	1685	chr1:111542217-111619783	RAP1A	0.890558381039193	3.37283926343801e-08
342	1688	chr1:111739578-111739579	DDX20	0.39780542762657	0.00141806632782737
343	1690	chr1:111755900-111760397	DDX20	0.999380009683106	0
344	1700	chr1:112619831-112619832	CAPZA1	0.934709483816748	1.43676182062791e-10
345	1701	chr1:112674420-112674745	MOV10	0.998860645806415	0
346	1710	chr1:112956414-112956932	SLC16A1-AS1	0.999123234255915	1.11022302462516e-16
347	1713	chr1:113073197-113073198	LRIG2	0.994718348680722	2.44352538203430e-10
348	1714	chr1:113390514-113390989	MAGI3	0.999965644593308	2.2009326583472e-09
349	1718	chr1:113856634-113856635	AP4B1-AS1	0.999862571290494	0
350	1722	chr1:113905212-113905326	DCLRE1B	0.999948983496128	2.6114805196098e-07
351	1724	chr1:113929323-113953877	HIPK1	0.973202677719196	3.12849746109123e-12
352	1748	chr1:115976512-115976614	SLC22A15	0.997003189877393	1.70622645934149e-06
353	1749	chr1:116017704-116017705	SLC22A15	0.290118482236026	0.0076676218304198
354	1753	chr1:116373243-116383370	ATP1A1	0.965527739308167	4.3831014069351e-06
355	1762	chr1:116754429-116754467	CD2	0.977688466239795	4.30071514290198e-07
356	1765	chr1:117001749-117001812	CD101	0.999579235251937	3.06770164826276e-11
357	1767	chr1:117060325-117060326	TTF2	0.999033545397997	1.62219015997778e-10
358	1772	chr1:117367448-117367449	MAN1A2	0.969580713027024	8.01112509662971e-11
359	1776	chr1:117929719-117929739	WDR3	0.999335552622035	2.57165096106959e-07
360	1782	chr1:119047404-119047405	WARS2-IT1	1	1.64301905414277e-12
361	1801	chr1:120723948-120813906	NBPF26	0.990099644260016	2.45918629904196e-09
362	1802	chr1:120850984-120850985	NBPF26	0.350669843995798	0.0212945970498899
363	1804	chr1:120913183-120913306	LINC00623	0.99084458462793	2.48889797660468e-12
364	1805	chr1:121087344-121087395	FCGR1B	0.999869856399508	1.45598089140719e-10
365	1810	chr1:121184974-121187102	SRGAP2C	0.996916730229068	0
366	1837	chr1:145607987-145608613	GPR89A	0.998435275083311	0
367	1839	chr1:145719470-145728328	CD160	0.999739685014462	3.4151415029271e-10
368	1841	chr1:145824175-145824200	POLR3C	0.997026290984363	8.77945949273595e-09
369	1842	chr1:145845629-145845630	NUDT17	0.999948983496128	0
370	1853	chr1:145964689-145964703	POLR3GL	0.990768479108433	0
371	1863	chr1:146938743-146959971	NBPF12	0.996589556914848	3.33066907387547e-16
372	1870	chr1:147541500-147541501	BCL9	0.999895882138299	0
